pool_number,date,site,water_date,substrate,bare_rock,sand,turf,cyanobacteria,turf_cyano,biofilm,CCA,brown_encrusting,red_encrusting,sargassum_spp,padina_sanctae_crucis,turbinaria_ornata,dictyota_sandvicensis,loose_turbinaria,acanthophora_spicifera,gelidiella_acerosa,coelothrix_irregularis,microdictyon_setchellianum,halimeda_discoidea,cladophora_sp,dictyosphaeria_versluysii,ulva_lactuca,leptolyngbya_crosbyana,loose_rock,loose_rock_CCA,loose_rock_turf_cyano,loose_rock_red_encrusting,loose_rock_red_sponge,rubble,rubble_CCA,rubble_red_encrusting,sponge,red_sponge,total_points,notes,observers
27,2025/06/23,Sandy Beach,2025/06/22,basalt,129,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,,"Mica, Mj, Ashley"
30,2025/06/23,Sandy Beach,2025/06/22,basalt,332,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,"pool had a lot more water than when water sampling was done, still did community comp for all that was covered in water. At least 62 rock were in extra area","Mica, Mj, Ashley"
14,2025/07/12,Kaihalulu Beach,2025/07/20,limestone,11,1,9,0,4,0,0,1,0,28,19,0,0,0,0,1,0,18,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,96,,"Mica, Mj"
13,2025/07/12,Kaihalulu Beach,2025/07/20,limestone,10,0,4,0,16,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,,"Mica, Mj"
15,2025/07/12,Kaihalulu Beach,2025/07/20,limestone,40,0,19,0,65,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,136,,"Mica, Mj"
12,2025/07/12,Kaihalulu Beach,2025/07/20,limestone,6,0,3,0,2,0,6,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,loose turbinaria,"Mica, Mj"
11,2025/07/12,Kaihalulu Beach,2025/07/20,limestone,3,1,29,0,1,0,1,7,0,33,25,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106,loose turbinaria,"Mica, Mj"
10,2025/07/12,Kaihalulu Beach,2025/07/20,limestone,9,5,12,0,11,0,0,0,0,25,4,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,73,,"Mica, Mj"
9,2025/07/12,Kaihalulu Beach,2025/07/20,limestone,15,2,24,0,11,0,0,0,0,5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,,"Mica, Mj"
8,2025/07/12,Kaihalulu Beach,2025/07/20,limestone,30,22,35,0,17,0,0,0,0,6,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,lots of loose turbinaria,"Mica, Mj"
7,2025/07/12,Kaihalulu Beach,2025/07/20,limestone,93,19,12,0,10,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,loose turbinaria,"Mica, Mj"
6,2025/07/12,Kaihalulu Beach,2025/07/20,limestone,58,0,11,0,3,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77,,"Mica, Mj"
5,2025/07/12,Kaihalulu Beach,2025/07/20,limestone,18,2,14,0,17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,,"Mica, Mj"
4,2025/07/12,Kaihalulu Beach,2025/07/20,limestone,20,1,62,0,17,0,2,0,0,2,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,loose turbinaria,"Mica, Mj"
3,2025/07/12,Kaihalulu Beach,2025/07/20,limestone,77,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,84,,"Mica, Mj"
2,2025/07/12,Kaihalulu Beach,2025/07/20,limestone,11,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,,"Mica, Mj"
1,2025/07/12,Kaihalulu Beach,2025/07/20,limestone,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,"Mica, Mj"
16,2025/07/19,Sandy Beach,NA,basalt,18,0,0,0,49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,,"Mica, Mj"
17,2025/07/19,Sandy Beach,NA,basalt,32,0,0,156,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,,"Mica, Mj"
18,2025/07/19,Sandy Beach,NA,basalt,45,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,73,,"Mica, Mj"
20,2025/07/19,Sandy Beach,NA,basalt,12,9,0,0,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,5,0,0,2,0,68,,"Mica, Mj"
19,2025/07/19,Sandy Beach,NA,basalt,26,1,0,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,,"Mica, Mj"
21,2025/07/19,Sandy Beach,NA,basalt,18,2,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,"Mica, Mj"
22,2025/07/19,Sandy Beach,NA,basalt,42,0,0,1,155,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,,"Mica, Mj"
23,2025/07/19,Sandy Beach,NA,basalt,26,6,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,0,0,0,0,246,,"Mica, Mj"
25,2025/07/19,Sandy Beach,NA,basalt,24,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,12,137,,"Mica, Mj"
24,2025/07/24,Sandy Beach,NA,basalt,31,3,0,1,24,0,12,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,2,2,0,0,0,0,3,0,0,85,,"Mica, Mj"
28,2025/07/24,Sandy Beach,NA,basalt,14,4,0,0,29,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,,"Mica, Mj"
26,2025/07/24,Sandy Beach,NA,basalt,10,26,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,75,,"Mica, Mj"
29,2025/07/24,Sandy Beach,NA,basalt,23,15,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,76,,"Mica, Mj"
14,2025/08/06,Kaihalulu Beach,2025/07/26,limestone,8,0,14,0,0,0,4,1,0,25,19,0,0,0,0,3,0,8,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,86,,"Mica, Jamie"
13,2025/08/06,Kaihalulu Beach,2025/07/26,limestone,0,1,7,0,28,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,,"Mica, Jamie"
15,2025/08/06,Kaihalulu Beach,2025/07/26,limestone,5,0,13,0,95,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,133,,"Mica, Jamie"
11,2025/08/06,Kaihalulu Beach,2025/07/26,limestone,2,1,22,0,0,0,7,7,0,26,24,0,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,,"Mica, Jamie"
12,2025/08/06,Kaihalulu Beach,2025/07/26,limestone,0,0,2,0,7,0,5,3,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,,"Mica, Jamie"
10,2025/08/06,Kaihalulu Beach,2025/07/26,limestone,1,4,11,0,10,0,8,1,0,24,9,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,,"Mica, Jamie"
9,2025/08/06,Kaihalulu Beach,2025/07/26,limestone,0,1,28,0,12,0,2,0,0,5,59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,,"Mica, Jamie"
8,2025/08/06,Kaihalulu Beach,2025/07/26,limestone,4,11,58,0,8,0,8,0,0,1,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108,,"Mica, Jamie"
7,2025/08/06,Kaihalulu Beach,2025/07/26,limestone,33,57,22,0,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,,"Mica, Jamie"
4,2025/08/06,Kaihalulu Beach,2025/07/26,limestone,7,17,67,0,13,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,112,,"Mica, Jamie"
5,2025/08/06,Kaihalulu Beach,2025/07/26,limestone,2,6,33,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,,"Mica, Jamie"
6,2025/08/06,Kaihalulu Beach,2025/07/26,limestone,42,11,10,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,,"Mica, Jamie"
3,2025/08/06,Kaihalulu Beach,2025/07/26,limestone,50,12,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,,"Mica, Jamie"
2,2025/08/06,Kaihalulu Beach,2025/07/26,limestone,5,0,27,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,,"Mica, Jamie"
1,2025/08/06,Kaihalulu Beach,2025/07/26,limestone,22,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,,"Mica, Jamie"
17,2025/08/07,Sandy Beach,NA,basalt,17,0,0,116,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,,"Mica, Jamie"
16,2025/08/07,Sandy Beach,NA,basalt,3,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,,"Mica, Jamie"
18,2025/08/07,Sandy Beach,NA,basalt,2,1,0,0,38,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65,,"Mica, Jamie"
19,2025/08/07,Sandy Beach,NA,basalt,6,2,0,0,2,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,pool was slightly bigger than usual,"Mica, Jamie"
20,2025/08/07,Sandy Beach,NA,basalt,5,7,0,0,32,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,3,55,,"Mica, Jamie"
24,2025/08/07,Sandy Beach,NA,basalt,10,2,9,0,25,3,13,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,4,6,0,4,86,,"Mica, Jamie"
25,2025/08/07,Sandy Beach,NA,basalt,8,4,0,0,58,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,0,0,0,12,130,,"Mica, Jamie"
28,2025/08/07,Sandy Beach,NA,basalt,4,27,6,0,0,5,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,,"Mica, Jamie"
26,2025/08/07,Sandy Beach,NA,basalt,2,44,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,1,69,,"Mica, Jamie"
29,2025/08/07,Sandy Beach,NA,basalt,1,11,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,77,,"Mica, Jamie"
23,2025/08/07,Sandy Beach,NA,basalt,5,10,0,0,1,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,9,0,0,0,3,241,,"Mica, Jamie"
22,2025/08/07,Sandy Beach,NA,basalt,7,0,146,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,,"Mica, Jamie"
32,2025/08/07,Sandy Beach,NA,basalt,10,0,0,0,98,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,11,0,2,1,0,0,26,165,"new pool, replacing 30. Of the 10 rock, 3 are black rock, 7 are red rock.","Mica, Jamie"
21,2025/08/07,Sandy Beach,NA,basalt,11,1,0,0,51,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,all 11 rock were red rock,"Mica, Jamie"
31,2025/08/07,Sandy Beach,NA,basalt,127,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,135,"new pool, replacing 27","Mica, Jamie"
17,2025/11/02,Sandy Beach,2025/11/05,basalt,3,4,0,127,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,,"Mica, Mj"
16,2025/11/02,Sandy Beach,2025/11/05,basalt,0,0,0,47,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,67,A-spicifera is present in pool 16,"Mica, Mj"
18,2025/11/02,Sandy Beach,2025/11/05,basalt,0,4,0,5,8,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,68,,"Mica, Mj"
19,2025/11/02,Sandy Beach,2025/11/05,basalt,0,0,0,0,0,138,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,142,Pool 19 looks a bit bigger than usual,"Mica, Mj"
20,2025/11/02,Sandy Beach,2025/11/05,basalt,0,10,0,1,36,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,59,,"Mica, Mj"
31,2025/11/02,Sandy Beach,2025/11/05,basalt,98,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,Really warm water. Uneven temperature throughout the pool. Large range temperature - it goes from very cold to very hot,"Mica, Mj"
21,2025/11/02,Sandy Beach,2025/11/05,basalt,3,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88,,"Mica, Mj"
22,2025/11/02,Sandy Beach,2025/11/05,basalt,1,0,0,0,57,123,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,Juvenile spotted sergent present in pool 22 (2 cm),"Mica, Mj"
32,2025/11/02,Sandy Beach,2025/11/05,basalt,16,0,0,3,41,61,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,29,174,,"Mica, Mj"
23,2025/11/02,Sandy Beach,2025/11/05,basalt,0,3,0,0,15,189,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,37,259,,"Mica, Mj"
24,2025/11/02,Sandy Beach,2025/11/05,basalt,0,1,11,1,0,16,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,1,0,1,73,1 cyano point on Turbinaria,"Mica, Mj"
25,2025/11/02,Sandy Beach,2025/11/05,basalt,0,0,0,1,36,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,27,126,,"Mica, Mj"
28,2025/11/02,Sandy Beach,2025/11/05,basalt,0,3,6,0,24,9,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,,"Mica, Mj"
29,2025/11/02,Sandy Beach,2025/11/05,basalt,0,11,0,0,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,84,,"Mica, Mj"
26,2025/11/02,Sandy Beach,2025/11/05,basalt,0,29,0,4,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,74,,"Mica, Mj"
1,2026/02/16,Kaihalulu Beach,2026/02/28,limestone,2,0,0,7,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,cyano was brown and ~1cm,"Mica, Mj"
2,2026/02/16,Kaihalulu Beach,2026/02/28,limestone,0,2,19,0,0,6,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,"turf was brown and short, different from cyano in P1","Mica, Mj"
3,2026/02/16,Kaihalulu Beach,2026/02/28,limestone,0,19,7,0,4,7,30,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,,"Mica, Mj"
6,2026/02/16,Kaihalulu Beach,2026/02/28,limestone,1,11,25,0,2,0,3,0,0,3,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,"sargassum may be 1 sarg P, 2 sarg A","Mica, Mj"
4,2026/02/16,Kaihalulu Beach,2026/02/28,limestone,0,0,44,0,1,0,4,0,0,1,71,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,124,sargassum a.?,"Mica, Mj"
5,2026/02/16,Kaihalulu Beach,2026/02/28,limestone,0,1,19,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,sargassum a? many sea hares on padina,"Mica, Mj"
7,2026/02/16,Kaihalulu Beach,2026/02/28,limestone,0,0,70,0,0,0,0,0,0,5,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,"sarg a 4, sarg p 1","Mica, Mj"
8,2026/02/16,Kaihalulu Beach,2026/02/28,limestone,0,0,35,0,0,0,0,0,0,2,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,sargassum a?,"Mica, Mj"
13,2026/02/16,Kaihalulu Beach,2026/02/28,limestone,0,0,8,0,0,9,1,0,0,4,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,sargassum a?,"Mica, Mj"
15,2026/02/16,Kaihalulu Beach,2026/02/28,limestone,0,0,43,0,12,0,13,0,0,16,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,sargassum a?,"Mica, Mj"
12,2026/02/16,Kaihalulu Beach,2026/02/28,limestone,0,0,3,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,,"Mica, Mj"
24,2026/03/01,Sandy Beach,2026/02/22,basalt,0,0,27,2,0,12,21,14,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,85,1 cyano was on turbinaria but recorded thing on top only so cyano,"Mica, Mj"
28,2026/03/01,Sandy Beach,2026/02/22,basalt,0,5,5,3,0,4,29,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,,"Mica, Mj"
26,2026/03/01,Sandy Beach,2026/02/22,basalt,0,30,0,2,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,2,1,0,0,0,79,rubble with CCA also had red encrusting,"Mica, Mj"
29,2026/03/01,Sandy Beach,2026/02/22,basalt,0,5,0,0,11,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,87,,"Mica, Mj"
20,2026/03/01,Sandy Beach,2026/02/22,basalt,0,4,0,0,50,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,59,,"Mica, Mj"
