date,site,water_date,substrate,pool_number,hermit_crab_large,hermit_crab_small,shore_crab,crab_other,snail_large,snail_small,cowrie,seahare,exaiptasia_diaphana,bivalve,fish_1cm,fish_2cm,fish_3cm,fish_greater_4cm,eel,holothuria_atra,holothuria_cinerascens,actinopyga_varians,sea_cucumber,echinometra_oblonga,echinometra_mathaei,jellyfish_small,shrimp,notes,observers
2025/06/08,Kaihalulu Beach,2025/06/08,limestone,6,32,0,0,0,76,0,0,0,0,0,3,3,4,1,0,0,0,0,0,0,0,0,0,fish 1 4cm,Josh
2025/06/08,Kaihalulu Beach,2025/06/08,limestone,7,11,0,0,0,7,519,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,,Josh
2025/06/22,Sandy Beach,2025/06/22,basalt,16,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/06/22,Sandy Beach,2025/06/22,basalt,17,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/06/22,Sandy Beach,2025/06/22,basalt,18,15,0,0,0,1,0,0,0,28,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/06/22,Sandy Beach,2025/06/22,basalt,19,18,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,,Josh
2025/06/22,Sandy Beach,2025/06/22,basalt,20,0,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/06/22,Sandy Beach,2025/06/22,basalt,21,11,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/06/22,Sandy Beach,2025/06/22,basalt,22,11,0,0,0,57,0,0,0,8,0,2,2,1,0,0,0,0,0,0,0,0,0,0,,Josh
2025/06/23,Sandy Beach,2025/06/22,basalt,23,7,0,1,0,35,0,0,0,8,7,1,2,3,0,0,0,0,0,0,0,0,0,0,,Haley
2025/06/23,Sandy Beach,2025/06/22,basalt,24,2,0,1,1,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,other crab is common hairy crab,Haley
2025/06/23,Sandy Beach,2025/06/22,basalt,25,1,0,0,0,5,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,,Haley
2025/06/23,Sandy Beach,2025/06/22,basalt,28,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Haley
2025/06/23,Sandy Beach,2025/06/22,basalt,29,5,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,Haley
2025/06/23,Sandy Beach,2025/06/22,basalt,26,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Haley
2025/06/23,Sandy Beach,2025/06/22,basalt,27,4,0,1,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,fish blenny 12cm,Haley
2025/06/23,Sandy Beach,2025/06/22,basalt,30,18,0,0,0,27,0,0,0,0,18,2,2,1,0,0,0,0,0,0,0,0,0,0,,Haley
2025/07/12,Kaihalulu Beach,2025/07/20,limestone,1,3,0,0,0,20,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/12,Kaihalulu Beach,2025/07/20,limestone,2,3,5,0,0,2,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/12,Kaihalulu Beach,2025/07/20,limestone,3,24,7,0,0,4,113,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/12,Kaihalulu Beach,2025/07/20,limestone,4,3,15,0,0,10,22,0,0,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/12,Kaihalulu Beach,2025/07/20,limestone,5,10,2,0,0,4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/12,Kaihalulu Beach,2025/07/20,limestone,6,50,0,0,0,3,574,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/12,Kaihalulu Beach,2025/07/20,limestone,7,8,10,0,0,6,451,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/12,Kaihalulu Beach,2025/07/20,limestone,8,4,31,0,0,7,116,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/12,Kaihalulu Beach,2025/07/20,limestone,9,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,cucumber small 2-3cm,Josh
2025/07/12,Kaihalulu Beach,2025/07/20,limestone,10,11,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,3,0,0,,Josh
2025/07/12,Kaihalulu Beach,2025/07/20,limestone,11,5,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,11,0,0,,Josh
2025/07/12,Kaihalulu Beach,2025/07/20,limestone,12,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/12,Kaihalulu Beach,2025/07/20,limestone,13,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/12,Kaihalulu Beach,2025/07/20,limestone,14,1,0,2,1,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,2,0,0,"2 tiny shore crabs in microdictyon, other crab is decorator",Josh
2025/07/12,Kaihalulu Beach,2025/07/20,limestone,15,26,24,0,0,0,4,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,,Josh
2025/07/19,Sandy Beach,NA,basalt,16,4,0,0,0,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/19,Sandy Beach,NA,basalt,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/19,Sandy Beach,NA,basalt,18,2,0,0,0,3,0,0,0,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,Josh
2025/07/19,Sandy Beach,NA,basalt,19,33,0,0,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/19,Sandy Beach,NA,basalt,20,0,0,1,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/19,Sandy Beach,NA,basalt,21,14,0,0,0,2,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/19,Sandy Beach,NA,basalt,22,9,0,1,0,12,0,0,0,4,3,3,2,2,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/19,Sandy Beach,NA,basalt,23,6,0,0,0,46,0,0,0,19,21,2,3,1,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/19,Sandy Beach,NA,basalt,24,1,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,"fish 1 4cm, 1 5cm",Josh
2025/07/19,Sandy Beach,NA,basalt,25,1,0,0,0,7,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,,Josh
2025/07/19,Sandy Beach,NA,basalt,26,2,0,0,0,6,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,,Josh
2025/07/19,Sandy Beach,NA,basalt,27,12,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/24,Sandy Beach,NA,basalt,28,6,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,,Mica
2025/07/19,Sandy Beach,NA,basalt,29,1,0,0,0,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/07/19,Sandy Beach,NA,basalt,30,20,0,0,0,5,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,,Josh
2025/08/07,Sandy Beach,NA,basalt,16,2,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/07,Sandy Beach,NA,basalt,17,0,0,0,0,2,0,0,0,0,9,2,1,0,1,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/07,Sandy Beach,NA,basalt,18,3,0,0,0,4,0,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/07,Sandy Beach,NA,basalt,19,9,45,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/07,Sandy Beach,NA,basalt,20,2,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/07,Sandy Beach,NA,basalt,21,7,5,0,0,0,0,0,0,0,10,0,2,0,0,0,1,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/07,Sandy Beach,NA,basalt,22,5,0,0,0,41,0,0,0,14,5,8,2,0,2,0,0,0,0,0,0,0,0,0,"fish 1 4cm, 1 6cm","Bowen, Mj"
2025/08/07,Sandy Beach,NA,basalt,23,12,0,1,0,27,0,0,0,8,0,3,2,1,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/07,Sandy Beach,NA,basalt,24,0,1,0,0,0,0,0,0,1,38,0,0,0,1,0,0,0,0,0,1,0,0,0,,"Bowen, Mj"
2025/08/07,Sandy Beach,NA,basalt,25,5,1,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/07,Sandy Beach,NA,basalt,26,8,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/07,Sandy Beach,NA,basalt,28,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,"Bowen, Mj"
2025/08/07,Sandy Beach,NA,basalt,29,4,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/07,Sandy Beach,NA,basalt,31,2,0,0,0,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/07,Sandy Beach,NA,basalt,32,6,1,0,0,10,0,0,0,71,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/06,Kaihalulu Beach,2025/07/26,limestone,1,0,1,1,0,23,2183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/06,Kaihalulu Beach,2025/07/26,limestone,2,1,1,0,0,0,227,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/06,Kaihalulu Beach,2025/07/26,limestone,3,44,0,0,0,5,451,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/06,Kaihalulu Beach,2025/07/26,limestone,4,3,11,1,0,6,186,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/06,Kaihalulu Beach,2025/07/26,limestone,5,3,8,0,0,6,450,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/06,Kaihalulu Beach,2025/07/26,limestone,6,22,26,0,0,11,1978,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/06,Kaihalulu Beach,2025/07/26,limestone,7,3,12,0,0,5,1440,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/06,Kaihalulu Beach,2025/07/26,limestone,8,1,10,1,0,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/06,Kaihalulu Beach,2025/07/26,limestone,9,0,7,0,0,0,146,0,0,13,0,0,1,0,2,0,0,0,0,0,0,1,0,0,,"Bowen, Mj"
2025/08/06,Kaihalulu Beach,2025/07/26,limestone,10,9,24,1,0,0,15,0,0,16,0,0,0,0,0,0,1,0,1,0,1,7,0,0,,"Bowen, Mj"
2025/08/06,Kaihalulu Beach,2025/07/26,limestone,11,1,0,3,0,0,3,0,0,25,0,2,0,0,0,0,0,0,0,0,3,7,0,0,,"Bowen, Mj"
2025/08/06,Kaihalulu Beach,2025/07/26,limestone,12,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/06,Kaihalulu Beach,2025/07/26,limestone,13,0,7,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
2025/08/06,Kaihalulu Beach,2025/07/26,limestone,14,0,2,0,0,0,0,1,0,5,0,0,0,0,0,0,2,0,0,0,2,3,0,0,,"Bowen, Mj"
2025/08/06,Kaihalulu Beach,2025/07/26,limestone,15,9,11,0,0,2,6,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,"Bowen, Mj"
